# Día       	# Fase	# Símbolo	# Nombre
2026-01-18	27.671	🌑	Luna nueva
2026-01-26	 7.262	🌓	Cuarto creciente
2026-02-01	13.523	🌕	Luna llena
2026-02-09	20.939	🌗	Cuarto menguante
2026-02-17	27.959	🌑	Luna nueva
2026-02-24	 6.937	🌓	Cuarto creciente
2026-03-03	13.974	🌕	Luna llena
2026-03-11	21.048	🌗	Cuarto menguante
2026-03-19	 0.405	🌑	Luna nueva
2026-03-25	 6.646	🌓	Cuarto creciente
2026-04-02	14.292	🌕	Luna llena
2026-04-10	21.185	🌗	Cuarto menguante
2026-04-17	27.917	🌑	Luna nueva
2026-04-24	 7.308	🌓	Cuarto creciente
2026-05-01	13.732	🌕	Luna llena
2026-05-09	20.586	🌗	Cuarto menguante
2026-05-16	27.538	🌑	Luna nueva
2026-05-23	 6.952	🌓	Cuarto creciente
2026-05-31	14.044	🌕	Luna llena
2026-06-08	20.999	🌗	Cuarto menguante
2026-06-15	 0.330	🌑	Luna nueva
2026-06-21	 6.539	🌓	Cuarto creciente
2026-06-30	14.357	🌕	Luna llena
2026-07-07	20.616	🌗	Cuarto menguante
2026-07-14	 0.012	🌑	Luna nueva
2026-07-21	 6.959	🌓	Cuarto creciente
2026-07-29	13.832	🌕	Luna llena
2026-08-06	21.322	🌗	Cuarto menguante
2026-08-12	27.666	🌑	Luna nueva
2026-08-20	 7.259	🌓	Cuarto creciente
2026-08-28	14.218	🌕	Luna llena
2026-09-04	21.092	🌗	Cuarto menguante
2026-09-11	 0.269	🌑	Luna nueva
2026-09-18	 6.620	🌓	Cuarto creciente
2026-09-26	13.723	🌕	Luna llena
2026-10-03	20.854	🌗	Cuarto menguante
2026-10-10	27.772	🌑	Luna nueva
2026-10-18	 6.780	🌓	Cuarto creciente
2026-10-26	14.296	🌕	Luna llena
2026-11-01	20.602	🌗	Cuarto menguante
2026-11-09	 0.146	🌑	Luna nueva
2026-11-17	 6.971	🌓	Cuarto creciente
2026-11-24	13.823	🌕	Luna llena
2026-12-01	21.196	🌗	Cuarto menguante
2026-12-09	 0.359	🌑	Luna nueva
2026-12-17	 7.200	🌓	Cuarto creciente
2026-12-24	14.441	🌕	Luna llena
2026-12-30	20.686	🌗	Cuarto menguante
2027-01-07	27.670	🌑	Luna nueva
2027-01-15	 6.622	🌓	Cuarto creciente
2027-01-22	13.940	🌕	Luna llena
2027-01-29	21.002	🌗	Cuarto menguante
2027-02-06	27.824	🌑	Luna nueva
2027-02-14	 7.125	🌓	Cuarto creciente
2027-02-21	14.513	🌕	Luna llena
2027-02-28	21.206	🌗	Cuarto menguante
2027-03-08	 0.056	🌑	Luna nueva
2027-03-15	 6.771	🌓	Cuarto creciente
2027-03-22	14.011	🌕	Luna llena
2027-03-30	21.320	🌗	Cuarto menguante
2027-04-07	 0.407	🌑	Luna nueva
2027-04-14	 7.470	🌓	Cuarto creciente
2027-04-21	14.460	🌕	Luna llena
2027-04-28	20.638	🌗	Cuarto menguante
2027-05-06	27.958	🌑	Luna nueva
2027-05-13	 7.222	🌓	Cuarto creciente
2027-05-20	13.962	🌕	Luna llena
2027-05-28	20.857	🌗	Cuarto menguante
2027-06-04	27.569	🌑	Luna nueva
2027-06-11	 6.961	🌓	Cuarto creciente
2027-06-19	14.333	🌕	Luna llena
2027-06-27	21.191	🌗	Cuarto menguante
2027-07-04	 0.319	🌑	Luna nueva
2027-07-10	 6.650	🌓	Cuarto creciente
2027-07-18	13.797	🌕	Luna llena
2027-07-26	20.730	🌗	Cuarto menguante
2027-08-02	27.996	🌑	Luna nueva
2027-08-09	 7.196	🌓	Cuarto creciente
2027-08-17	14.089	🌕	Luna llena
2027-08-25	21.308	🌗	Cuarto menguante
2027-08-31	27.650	🌑	Luna nueva
2027-09-07	 6.683	🌓	Cuarto creciente
2027-09-16	14.401	🌕	Luna llena
2027-09-23	20.985	🌗	Cuarto menguante
2027-09-30	 0.323	🌑	Luna nueva
2027-10-07	 6.936	🌓	Cuarto creciente
2027-10-15	13.854	🌕	Luna llena
2027-10-22	20.683	🌗	Cuarto menguante
2027-10-29	27.850	🌑	Luna nueva
2027-11-06	 7.104	🌓	Cuarto creciente
2027-11-14	14.311	🌕	Luna llena
2027-11-21	21.431	🌗	Cuarto menguante
2027-11-28	 0.293	🌑	Luna nueva
2027-12-06	 7.199	🌓	Cuarto creciente
2027-12-13	13.777	🌕	Luna llena
2027-12-20	21.076	🌗	Cuarto menguante
2027-12-27	27.662	🌑	Luna nueva
2028-01-05	 7.343	🌓	Cuarto creciente
2028-01-12	14.314	🌕	Luna llena
2028-01-18	20.655	🌗	Cuarto menguante
2028-01-26	27.851	🌑	Luna nueva
2028-02-03	 6.689	🌓	Cuarto creciente
2028-02-10	13.812	🌕	Luna llena
2028-02-17	21.111	🌗	Cuarto menguante
2028-02-25	 0.013	🌑	Luna nueva
2028-03-04	 7.078	🌓	Cuarto creciente
2028-03-11	14.455	🌕	Luna llena
2028-03-18	21.429	🌗	Cuarto menguante
2028-03-26	 0.197	🌑	Luna nueva
2028-04-02	 6.620	🌓	Cuarto creciente
2028-04-09	13.980	🌕	Luna llena
2028-04-16	20.762	🌗	Cuarto menguante
2028-04-24	27.631	🌑	Luna nueva
