# Dag       	# Fase	# Symbool	# Naam
2026-01-18	27.671	🌑	Nieuwe maan
2026-01-26	 7.262	🌓	Eerste kwartier
2026-02-01	13.523	🌕	Volle maan
2026-02-09	20.939	🌗	Laatste kwartier
2026-02-17	27.959	🌑	Nieuwe maan
2026-02-24	 6.937	🌓	Eerste kwartier
2026-03-03	13.974	🌕	Volle maan
2026-03-11	21.048	🌗	Laatste kwartier
2026-03-19	 0.405	🌑	Nieuwe maan
2026-03-25	 6.646	🌓	Eerste kwartier
2026-04-02	14.292	🌕	Volle maan
2026-04-10	21.185	🌗	Laatste kwartier
2026-04-17	27.917	🌑	Nieuwe maan
2026-04-24	 7.308	🌓	Eerste kwartier
2026-05-01	13.732	🌕	Volle maan
2026-05-09	20.586	🌗	Laatste kwartier
2026-05-16	27.538	🌑	Nieuwe maan
2026-05-23	 6.952	🌓	Eerste kwartier
2026-05-31	14.044	🌕	Volle maan
2026-06-08	20.999	🌗	Laatste kwartier
2026-06-15	 0.330	🌑	Nieuwe maan
2026-06-21	 6.539	🌓	Eerste kwartier
2026-06-30	14.357	🌕	Volle maan
2026-07-07	20.616	🌗	Laatste kwartier
2026-07-14	 0.012	🌑	Nieuwe maan
2026-07-21	 6.959	🌓	Eerste kwartier
2026-07-29	13.832	🌕	Volle maan
2026-08-06	21.322	🌗	Laatste kwartier
2026-08-12	27.666	🌑	Nieuwe maan
2026-08-20	 7.259	🌓	Eerste kwartier
2026-08-28	14.218	🌕	Volle maan
2026-09-04	21.092	🌗	Laatste kwartier
2026-09-11	 0.269	🌑	Nieuwe maan
2026-09-18	 6.620	🌓	Eerste kwartier
2026-09-26	13.723	🌕	Volle maan
2026-10-03	20.854	🌗	Laatste kwartier
2026-10-10	27.772	🌑	Nieuwe maan
2026-10-18	 6.780	🌓	Eerste kwartier
2026-10-26	14.296	🌕	Volle maan
2026-11-01	20.602	🌗	Laatste kwartier
2026-11-09	 0.146	🌑	Nieuwe maan
