# Day	# Phase
2026-01-19	 0.116
2026-02-18	 0.434
2026-03-19	27.899
2026-04-17	27.474
2026-05-17	 0.184
2026-06-15	27.865
2026-07-14	27.555
2026-08-13	 0.278
2026-09-11	27.857
2026-10-11	 0.278
2026-11-09	27.702
2026-12-09	27.933
2027-01-08	 0.090
2027-02-07	 0.252
2027-03-08	27.609
2027-04-07	 0.006
2027-05-06	27.535
2027-06-05	 0.193
2027-07-04	27.861
2027-08-02	27.534
2027-09-01	 0.286
2027-09-30	27.842
2027-10-30	 0.387
2027-11-28	27.828
2027-12-28	 0.102
2028-01-27	 0.273
2028-02-25	27.593
2028-03-26	27.801
2028-04-25	 0.159
2028-05-24	27.670
2028-06-23	 0.234
2028-07-22	27.865
2028-08-20	27.508
2028-09-19	 0.260
2028-10-18	27.819
2028-11-17	 0.421
2028-12-16	27.872
2029-01-15	 0.213
2029-02-13	27.579
2029-03-15	27.811
2029-04-14	 0.082
2029-05-14	 0.372
2029-06-12	27.855
2029-07-12	 0.326
2029-08-10	27.918
2029-09-08	27.521
2029-10-08	 0.173
2029-11-06	27.749
2029-12-06	 0.366
2030-01-04	27.834
2030-02-03	 0.279
2030-03-04	27.707
2030-04-03	 0.035
2030-05-03	 0.345
2030-06-01	27.776
2030-07-01	 0.087
2030-07-30	27.578
2030-08-29	 0.035
2030-09-27	27.580
2030-10-27	 0.121
2030-11-25	27.644
2030-12-25	 0.252
2031-01-23	27.750
2031-02-22	 0.310
2031-03-23	27.803
2031-04-22	 0.268
2031-05-21	27.735
2031-06-20	 0.056
2031-07-20	 0.365
2031-08-18	27.835
2031-09-17	 0.197
2031-10-16	27.628
