# Dia       	# Fase	# Símbolo	# Nome
2026-01-18	27.708	🌑	Lua nova
2026-01-26	 7.305	🌓	Quarto crescente
2026-02-01	13.566	🌕	Lua cheia
2026-02-09	20.974	🌗	Quarto minguante
2026-02-17	27.999	🌑	Lua nova
2026-02-24	 6.980	🌓	Quarto crescente
2026-03-03	14.014	🌕	Lua cheia
2026-03-11	21.083	🌗	Quarto minguante
2026-03-19	 0.448	🌑	Lua nova
2026-03-25	 6.689	🌓	Quarto crescente
2026-04-02	14.330	🌕	Lua cheia
2026-04-10	21.221	🌗	Quarto minguante
2026-04-17	27.961	🌑	Lua nova
2026-04-24	 7.349	🌓	Quarto crescente
2026-05-01	13.768	🌕	Lua cheia
2026-05-09	20.623	🌗	Quarto minguante
2026-05-16	27.584	🌑	Lua nova
2026-05-23	 6.992	🌓	Quarto crescente
2026-05-31	14.079	🌕	Lua cheia
2026-06-08	21.038	🌗	Quarto minguante
2026-06-15	 0.376	🌑	Lua nova
2026-06-21	 6.578	🌓	Quarto crescente
2026-06-30	14.393	🌕	Lua cheia
2026-07-07	20.656	🌗	Quarto minguante
2026-07-14	 0.058	🌑	Lua nova
2026-07-21	 6.996	🌓	Quarto crescente
2026-07-29	13.869	🌕	Lua cheia
2026-08-06	21.365	🌗	Quarto minguante
2026-08-12	27.710	🌑	Lua nova
2026-08-20	 7.294	🌓	Quarto crescente
2026-08-28	14.256	🌕	Lua cheia
2026-09-04	21.134	🌗	Quarto minguante
2026-09-11	 0.310	🌑	Lua nova
2026-09-18	 6.656	🌓	Quarto crescente
2026-09-26	13.763	🌕	Lua cheia
2026-10-03	20.896	🌗	Quarto minguante
2026-10-10	27.811	🌑	Lua nova
2026-10-18	 6.816	🌓	Quarto crescente
2026-10-26	14.339	🌕	Lua cheia
2026-11-01	20.644	🌗	Quarto minguante
2026-11-09	 0.183	🌑	Lua nova
2026-11-17	 7.007	🌓	Quarto crescente
2026-11-24	13.868	🌕	Lua cheia
2026-12-01	21.236	🌗	Quarto minguante
2026-12-09	 0.394	🌑	Lua nova
2026-12-17	 7.239	🌓	Quarto crescente
2026-12-24	14.488	🌕	Lua cheia
2026-12-30	20.726	🌗	Quarto minguante
2027-01-07	27.705	🌑	Lua nova
2027-01-15	 6.661	🌓	Quarto crescente
